age,gender,residence,competative_exams,access_to_internet,study_hours_per_day,has_scholarship,extracurricular_activities,fam_fin_status,health,location,f_edu,m_edu,f_job,m_job,alcoholic,additional_tuition,fam_size,fam_relation,prev_percent_1,prev_percent_2,prev_percent_3,TARGET_PREDICTION_PERCENT
17,F,D,0,1,4,0,1,4,5,R,1,2,0,1,1,1,14,4,91,79,89,86
32,M,D,0,1,9,0,0,5,2,U,1,3,0,0,1,0,1,4,95,87,95,92
31,M,D,0,1,1,0,1,1,1,U,3,2,1,0,1,0,2,4,70,76,81,75
32,M,H,0,0,1,1,0,4,1,U,4,1,0,0,1,1,8,4,92,78,70,80
18,F,H,0,1,2,0,1,3,2,R,1,3,0,0,1,1,6,2,81,88,76,81
33,M,H,0,1,3,0,1,2,3,R,3,4,1,1,1,1,7,1,85,88,75,82
10,M,D,0,0,5,0,1,2,4,R,3,2,1,1,0,0,9,3,75,78,69,74
16,F,H,1,0,2,1,0,4,3,U,2,1,1,0,0,0,3,5,80,73,87,80
10,F,D,0,0,3,0,1,4,5,R,2,4,0,0,0,0,15,4,76,70,69,71
10,F,H,0,0,4,0,0,4,2,R,5,4,0,0,0,1,13,5,88,81,84,84
10,M,H,0,0,9,0,0,2,5,U,4,1,0,1,0,0,13,1,75,66,91,77
14,M,H,0,0,8,0,1,5,4,U,0,3,0,0,0,0,7,1,73,90,69,77
24,F,D,1,1,9,1,0,4,3,U,3,0,1,0,1,1,1,2,89,85,94,89
11,F,H,0,0,6,1,0,2,5,R,3,0,0,1,0,0,11,4,93,69,77,79
21,F,H,1,0,8,0,1,3,3,U,5,1,1,0,1,0,1,2,77,89,70,78
19,M,H,1,1,6,0,0,2,1,R,3,4,0,0,1,0,9,1,80,86,88,84
19,M,H,1,0,5,1,1,1,3,U,2,0,1,1,1,1,7,5,86,94,85,88
29,M,D,0,1,2,0,1,5,3,R,2,0,1,0,1,1,1,1,66,67,95,76
26,F,H,0,0,8,0,0,3,3,U,0,3,1,0,1,1,13,5,78,70,72,73
33,F,H,0,1,3,1,0,4,3,U,4,2,0,0,1,0,14,1,73,66,72,70
24,F,D,0,0,3,1,1,4,3,U,4,1,0,0,1,1,11,5,91,77,93,87
13,F,D,1,1,8,0,0,5,2,R,2,5,0,1,0,0,8,5,74,78,72,74
33,M,H,1,1,2,0,0,5,4,U,3,0,1,1,1,1,14,4,86,72,70,76
22,M,D,0,1,4,0,0,4,4,U,0,5,1,1,0,1,5,3,88,72,68,76
32,F,H,0,0,3,0,1,1,4,R,1,1,1,0,0,1,9,5,94,78,83,85
32,F,D,1,1,7,1,1,1,2,U,5,0,1,1,1,1,11,2,69,89,84,80
12,M,D,0,1,3,0,0,5,3,U,5,0,0,0,0,1,2,1,71,82,84,79
35,F,D,1,0,8,1,1,3,3,R,5,5,0,0,0,1,14,3,86,84,71,80
26,M,D,1,0,7,1,0,4,3,U,0,1,1,0,1,0,5,2,96,71,94,87
7,F,H,0,0,1,1,0,1,3,U,4,0,1,0,0,1,4,5,84,65,70,73
17,M,H,1,0,7,1,0,4,5,R,0,0,1,0,0,1,1,2,97,72,72,80
27,M,D,1,1,1,1,1,5,3,R,3,2,0,0,1,0,8,1,94,92,88,91
22,M,D,1,1,7,1,0,3,3,R,5,4,0,0,1,0,4,4,74,83,74,77
16,F,H,1,0,2,1,1,5,2,R,2,5,1,1,1,1,7,5,87,96,73,85
7,M,D,0,0,3,0,1,2,1,R,2,0,0,1,0,1,2,1,94,95,80,89
19,F,D,1,1,5,0,0,1,3,U,2,4,0,0,1,0,10,3,72,83,72,75
26,M,D,0,0,7,1,1,4,3,R,4,2,1,1,1,1,2,4,90,82,72,81
26,M,D,1,0,1,0,0,5,1,U,3,5,1,0,0,1,2,4,92,70,93,85
29,F,D,0,1,6,0,1,1,1,U,2,0,1,0,1,0,9,4,85,92,78,85
20,M,D,1,1,7,1,0,3,5,R,3,1,1,0,0,1,4,2,60,65,73,92
25,F,H,1,0,6,1,0,4,3,U,2,1,1,0,1,1,5,2,62,50,60,85
23,M,H,0,1,9,0,1,5,4,U,3,2,1,1,0,1,4,4,81,79,88,98
22,F,H,1,1,8,1,0,5,4,R,4,3,1,1,2,1,3,2,72,89,79,87
24,F,H,0,1,10,1,1,3,5,R,3,1,1,0,1,0,4,3,55,69,58,95
26,M,D,1,1,4,1,1,4,5,R,2,1,1,0,4,0,5,3,71,83,68,91
20,M,H,0,1,6,1,0,2,4,R,5,1,1,0,3,1,4,4,82,91,79,97
21,F,D,1,1,8,1,0,4,3,R,3,1,1,0,4,0,4,2,62,50,68,89
22,M,D,0,1,5,1,1,5,5,R,5,4,1,1,0,1,3,2,73,69,81,97
27,M,H,0,1,9,1,0,4,5,U,2,1,1,0,1,0,5,1,83,77,69,94
24,F,H,1,1,7,1,0,5,5,R,1,0,0,0,4,0,5,5,81,89,79,96
23,F,H,1,1,6,0,1,3,4,R,5,3,1,1,2,1,4,2,79,71,75,93
18,F,H,0,1,5,0,0,1,3,U,1,0,0,0,3,1,3,1,59,50,64,99
25,M,D,0,0,11,0,1,3,4,R,4,2,1,1,1,1,4,1,92,84,97,87
26,F,H,1,0,10,1,0,5,4,R,3,2,1,1,1,1,3,4,65,77,66,92
22,F,H,1,1,8,1,1,3,5,U,1,0,0,0,1,0,3,5,78,82,68,95
21,F,D,0,1,4,1,0,4,4,R,4,3,1,1,2,1,3,3,92,99,91,98
26,F,H,1,1,7,1,1,5,4,R,5,1,1,0,4,1,4,4,78,89,71,94
19,F,H,1,0,5,1,1,2,3,R,1,0,0,0,3,1,3,3,58,68,60,97
23,M,H,0,1,8,0,0,4,4,R,3,1,1,0,2,1,4,4,75,83,68,90
22,F,H,0,1,7,0,0,2,3,R,3,1,1,0,1,0,5,3,70,76,68,93
24,F,H,1,1,10,1,1,3,5,R,5,1,1,0,4,1,4,5,60,75,68,96
20,M,H,0,1,9,0,0,3,3,U,3,1,1,0,4,1,5,2,78,89,68,98
27,F,D,1,1,5,1,0,5,3,U,4,2,1,1,0,0,5,4,65,79,64,95
18,M,H,1,1,6,0,1,2,3,R,5,1,1,0,4,1,3,3,75,80,73,92
25,F,H,0,1,8,0,1,3,4,R,3,1,1,0,1,0,5,4,80,87,73,97
22,F,D,0,1,4,1,1,5,3,R,2,1,1,0,2,1,4,4,85,91,79,90
21,M,D,1,1,10,1,0,5,4,U,5,1,1,0,1,1,4,3,91,93,82,93
26,M,H,0,1,6,1,1,5,3,R,4,2,1,1,2,0,3,4,59,70,64,96
19,F,H,1,1,5,1,1,5,4,R,5,3,1,1,4,1,4,4,80,85,75,99
23,M,D,0,1,9,1,0,2,4,R,3,1,1,0,1,0,3,3,75,82,68,92
24,F,D,1,1,8,1,1,5,4,U,2,1,1,0,2,1,5,4,71,68,66,95
27,M,H,0,1,6,1,0,5,4,U,3,1,1,0,4,0,4,5,80,85,73,98
21,M,H,0,1,7,1,1,5,4,R,4,3,1,1,1,1,4,4,90,95,86,91
20,F,D,1,1,5,1,0,3,3,R,1,1,1,1,2,0,3,3,85,88,75,94
26,F,H,1,1,4,1,0,5,5,R,2,1,1,0,1,1,5,4,79,82,75,97
25,M,H,0,1,8,1,1,4,4,R,3,1,1,0,4,1,4,3,70,65,66,99
22,F,H,1,1,7,1,1,3,5,R,5,3,1,1,3,0,3,5,82,91,79,93
24,M,D,0,1,9,1,1,4,5,R,4,3,1,1,4,1,4,3,79,82,75,96
19,F,H,0,1,6,1,1,2,5,R,3,2,1,1,1,0,3,4,72,77,71,99
21,M,H,1,1,7,1,0,5,4,R,2,1,1,0,2,0,3,3,75,82,71,92
20,F,H,1,1,5,1,0,3,5,R,1,1,1,1,2,0,5,4,80,87,79,95
23,F,D,0,1,8,1,0,5,4,R,5,1,1,0,1,1,4,5,89,90,89,98
26,M,H,1,1,6,1,0,2,4,R,4,1,1,0,2,0,3,5,60,55,73,91
27,M,H,0,1,9,1,1,5,4,R,5,3,1,1,3,1,3,5,90,95,79,94
22,F,D,1,1,7,1,0,2,4,R,4,1,1,0,1,0,5,4,82,87,82,97
24,M,D,0,1,10,1,1,5,4,R,5,2,1,1,4,1,4,4,85,88,82,99
19,F,H,0,1,4,1,0,3,3,R,1,1,1,1,2,0,4,3,68,71,75,93
21,M,H,1,1,8,1,1,5,4,R,3,1,1,0,3,1,3,4,78,85,79,96
20,F,H,1,1,9,1,1,4,5,R,2,1,1,0,4,1,5,5,90,89,86,99
26,M,H,0,1,5,1,0,3,3,U,3,1,1,0,2,0,5,4,70,68,68,92
27,F,D,0,1,7,1,0,2,5,R,5,1,1,0,2,1,4,4,75,77,79,95
22,F,H,1,1,6,1,0,4,5,R,4,1,1,0,1,0,3,3,82,89,79,98
24,M,D,1,1,10,1,1,3,5,R,5,3,1,1,1,1,4,4,90,92,86,91
19,F,D,0,1,4,1,0,5,4,R,3,2,1,1,2,1,3,3,79,85,82,94
21,F,H,1,1,5,1,1,4,5,R,2,1,1,0,1,0,3,3,78,80,71,97
26,M,H,1,1,6,1,1,2,3,R,4,1,1,0,1,0,4,4,68,72,68,99
27,M,D,1,1,4,1,1,4,4,R,2,1,1,0,4,1,3,4,75,71,66,93
22,F,H,0,1,9,1,0,2,4,R,5,2,1,1,2,1,3,5,80,80,71,96
24,M,D,0,1,7,1,0,4,5,R,2,1,1,0,3,0,3,3,85,82,73,99
19,F,H,1,1,5,1,1,5,4,R,3,1,1,0,4,0,5,5,89,92,86,92
21,M,D,1,1,10,1,0,3,3,R,5,1,1,0,2,1,3,3,60,62,64,95
20,F,H,1,1,8,1,0,5,3,R,2,1,1,0,3,0,3,4,85,82,79,98
26,F,D,0,1,6,1,0,4,5,R,3,1,1,0,3,1,5,4,70,68,66,91
27,M,H,1,1,7,1,1,4,4,R,5,1,1,0,4,1,4,4,85,89,86,94
22,F,D,1,1,8,1,1,3,5,R,4,1,1,0,4,0,4,5,92,89,89,97
24,M,D,0,1,5,1,0,4,4,R,2,1,1,0,3,1,4,3,82,88,75,99
19,F,H,0,1,9,1,1,4,5,R,3,2,1,1,2,0,4,5,90,92,89,93
21,M,H,1,1,5,1,1,3,5,R,2,1,1,0,2,0,3,3,70,76,73,96
20,F,H,1,1,8,1,0,5,4,R,5,1,1,0,4,1,5,5,82,88,82,99
26,M,H,1,1,7,1,0,3,5,R,4,1,1,0,3,0,3,3,75,79,68,92
27,F,D,0,1,4,1,1,4,5,R,5,1,1,0,3,1,3,5,87,91,86,95
22,F,H,0,1,10,1,0,2,4,R,2,1,1,0,2,0,3,4,79,77,79,98
24,M,D,1,1,9,1,1,4,4,R,3,3,1,1,3,1,4,4,90,92,86,91
19,F,D,0,1,5,1,0,3,4,R,1,1,1,1,4,1,4,3,85,86,79,94
21,F,H,1,1,8,1,1,5,3,R,2,1,1,0,4,0,3,4,82,89,79,97
26,M,H,1,1,4,1,1,3,5,R,4,1,1,0,4,1,3,5,78,80,82,99
27,F,H,0,1,7,1,0,2,3,R,3,1,1,0,4,1,4,5,88,91,82,93
22,F,D,1,1,5,1,0,3,3,R,1,1,1,1,1,1,5,3,75,77,71,96
24,M,D,0,1,6,1,0,5,4,R,2,2,1,1,1,0,3,4,85,91,82,99
19,F,H,0,1,10,1,0,3,5,R,4,1,1,0,4,1,4,5,79,82,75,92
21,M,H,1,1,7,1,0,5,5,R,5,3,1,1,3,1,3,4,80,82,79,95
20,F,H,1,1,4,1,1,2,3,R,3,1,1,0,1,0,4,3,78,82,71,98
26,F,D,0,1,6,1,0,5,5,R,1,1,1,1,3,0,4,4,85,86,79,91
27,M,H,0,1,5,1,0,2,4,R,5,2,1,1,1,0,4,4,90,92,86,94
22,F,D,0,1,9,1,0,3,5,R,2,1,1,0,4,1,5,4,80,82,71,97
24,M,D,1,1,8,1,1,4,4,R,4,1,1,0,3,1,5,5,92,95,89,99
19,F,H,1,1,5,1,0,5,3,R,5,1,1,0,3,1,4,3,79,82,79,93
21,M,H,1,1,9,1,1,3,3,R,4,1,1,0,4,1,5,4,85,91,79,96
20,F,H,1,1,6,1,1,2,4,R,3,1,1,0,1,1,4,4,88,85,79,99
26,M,H,0,1,4,1,0,4,4,R,2,1,1,0,2,0,3,5,75,82,71,92
27,F,D,0,1,10,1,0,3,3,R,1,1,1,1,3,1,5,5,80,85,75,95
22,F,H,1,1,7,1,1,4,5,R,4,1,1,0,3,0,3,3,85,91,82,98
24,M,D,1,1,5,1,0,5,4,R,5,3,1,1,2,1,4,4,79,82,75,91
19,F,D,0,1,9,1,1,4,4,R,3,1,1,0,3,0,3,4,80,82,71,94
21,F,H,1,1,8,1,0,3,5,R,2,1,1,0,2,1,4,5,85,88,79,97
20,M,H,1,1,4,1,0,5,5,R,5,2,1,1,3,0,3,5,92,90,86,99
26,F,H,0,1,6,1,1,3,4,R,4,1,1,0,4,1,3,4,85,88,82,93
27,M,D,0,1,7,1,0,2,5,R,5,1,1,0,1,0,5,3,78,82,79,96
22,F,D,1,1,10,1,0,3,4,R,3,2,1,1,4,0,5,4,80,82,71,99
20,M,H,0,1,2,0,1,1,1,U,3,3,1,0,0,1,3,1,88,86,87,85
21,M,H,0,0,3,0,1,2,1,U,3,3,1,0,0,1,3,1,78,97,84,85
18,M,H,0,1,3,0,1,3,1,U,3,3,1,0,0,1,3,1,60,88,84,84
20,F,H,1,1,3,0,1,2,1,U,3,3,1,0,0,1,3,1,55,56,84,84
19,F,D,1,0,2,0,1,2,2,U,3,3,1,0,0,1,3,1,89,85,84,84
23,F,H,1,0,2,0,1,2,2,U,3,3,1,0,0,1,3,3,94,98,84,65
22,M,D,1,0,5,0,1,4,2,U,3,3,1,0,0,1,4,3,96,97,87,65
22,M,H,0,1,6,0,1,5,2,U,3,3,1,0,0,1,4,3,75,84,87,73
22,F,D,0,1,2,0,1,3,2,U,3,3,1,0,0,1,4,3,75,85,98,75
22,M,D,0,1,3,0,1,3,2,U,3,3,1,0,2,1,5,3,68,86,98,71
20,F,H,0,1,2,0,1,1,2,U,3,5,1,0,2,1,5,3,62,81,95,72
18,M,D,1,1,2,0,1,2,2,U,3,5,1,0,2,1,3,3,34,82,95,75
18,M,H,0,1,9,0,1,3,2,U,3,5,1,0,2,1,3,3,65,83,91,75
19,F,D,0,1,9,0,1,4,2,U,3,5,1,0,2,1,3,3,94,80,96,78
21,F,D,0,1,5,0,1,5,2,U,3,5,1,0,2,1,3,3,86,75,92,78
20,F,D,1,0,5,0,1,1,2,U,3,5,1,0,2,1,2,3,88,76,91,90
21,M,D,1,0,5,0,1,2,2,U,3,5,1,0,2,1,2,3,50,79,60,90
20,M,H,1,0,4,0,1,4,2,U,3,5,1,1,2,1,2,3,50,74,64,90
21,M,H,0,0,3,0,1,5,2,U,3,5,1,1,2,1,2,3,50,97,63,50
23,M,H,1,1,3,0,1,3,2,U,3,1,1,1,2,0,2,3,54,86,63,50
22,F,H,0,1,8,0,1,3,2,U,3,1,1,1,2,0,5,3,98,65,67,47
20,M,H,1,1,2,0,1,3,2,U,3,3,1,1,2,0,5,3,97,59,68,67
20,F,D,0,1,8,0,1,3,3,U,3,3,1,1,2,0,5,3,99,54,59,34
20,M,H,1,1,9,0,1,3,3,U,3,4,1,1,2,0,5,3,60,58,58,84
23,F,D,0,1,2,0,1,3,3,U,3,4,1,1,2,0,8,3,60,69,52,75
23,M,H,1,0,2,1,1,3,3,U,3,4,1,1,2,0,8,3,65,68,54,95
23,F,D,0,0,2,1,1,3,3,U,2,4,1,1,2,0,9,3,68,67,78,65
21,M,H,1,0,5,1,1,3,5,R,2,4,1,1,2,0,9,3,67,66,79,75
20,F,D,0,0,5,0,1,3,5,R,2,4,1,1,1,0,9,3,88,55,71,74
18,M,H,0,0,5,0,1,3,5,R,2,4,1,1,1,0,7,3,84,66,70,78
18,M,D,1,0,5,1,1,5,5,R,2,4,1,1,1,0,7,5,85,77,82,84
19,M,H,0,1,7,0,1,5,5,R,2,4,1,1,1,0,7,5,86,88,92,87
21,M,D,0,1,7,0,1,4,5,U,2,2,1,0,1,0,5,5,84,99,83,86
21,M,H,0,1,7,0,1,2,5,R,2,2,1,0,1,0,4,5,85,85,81,85
22,F,D,0,1,7,0,1,2,5,R,2,2,1,0,1,0,4,5,86,82,80,82
22,F,H,0,1,9,0,1,1,5,R,2,2,1,0,1,0,4,5,87,80,76,81
20,F,D,1,1,9,1,1,1,5,U,2,2,1,0,1,0,3,5,87,75,75,83
20,F,H,1,1,9,1,1,1,5,U,2,2,1,0,1,0,3,5,89,74,64,80
20,M,D,1,1,9,1,1,2,5,U,2,2,1,0,1,0,3,5,88,74,65,95
19,M,H,0,1,2,1,0,2,5,U,2,2,1,0,1,0,3,5,84,88,65,96
19,F,D,1,1,1,1,0,2,5,U,2,1,1,0,4,1,3,2,89,88,64,92
18,F,H,1,1,1,1,0,3,5,U,2,1,1,0,4,1,3,4,77,95,63,90
19,M,D,1,1,1,1,0,3,5,U,1,1,1,0,4,1,3,4,44,94,84,80
20,M,H,0,1,3,1,0,3,5,U,1,1,1,0,4,1,3,4,65,96,84,70
21,M,H,1,1,3,1,0,4,5,U,1,1,1,0,4,1,3,4,84,94,84,76
22,F,H,1,1,4,1,0,4,5,U,1,1,1,0,3,1,3,4,85,92,87,73
23,F,H,1,1,4,1,0,4,5,U,1,1,1,0,3,1,3,4,84,90,85,71
24,F,D,0,1,5,1,0,4,5,R,1,3,1,0,3,1,3,4,96,93,78,87
24,F,D,1,1,5,1,0,5,5,R,1,3,1,0,3,1,3,4,99,91,95,96
24,F,D,1,1,2,0,0,5,5,R,1,3,1,0,3,1,3,4,84,84,85,84
26,M,D,1,1,2,0,0,4,5,R,1,3,0,0,3,1,3,4,74,84,74,85
20,M,H,0,0,3,0,0,3,5,R,1,3,0,0,3,1,3,4,75,84,84,76
18,M,H,1,0,3,0,0,2,5,R,1,3,0,0,3,1,3,4,62,75,64,70
18,M,D,1,0,6,0,1,1,5,R,4,3,0,1,3,1,3,2,62,76,84,73
18,F,D,0,0,6,0,1,5,5,R,4,3,0,1,2,1,3,2,85,71,85,74
20,M,H,1,0,7,0,1,4,5,R,4,3,1,1,2,1,3,2,94,70,84,76
20,F,D,0,0,7,0,1,3,5,R,4,3,0,1,2,1,3,2,94,98,56,71
20,M,H,1,0,8,1,1,2,5,R,4,3,0,1,2,1,3,2,65,54,74,80
22,F,D,0,1,9,1,1,1,5,R,4,3,0,1,2,1,3,2,65,54,62,74
24,M,H,0,1,2,1,0,1,5,R,4,3,0,1,2,1,3,2,84,56,51,86
23,F,D,0,1,3,1,0,1,5,R,4,3,0,1,1,1,3,1,74,58,45,83
22,M,D,0,1,3,1,0,1,5,R,5,4,0,1,1,1,2,1,95,57,46,82
21,F,H,1,1,5,1,0,1,5,R,5,4,0,1,1,1,2,1,95,59,49,81
23,M,D,1,1,5,0,0,1,5,U,5,4,0,1,1,1,2,1,35,84,76,85
23,F,D,1,1,5,0,0,1,5,U,5,4,0,1,0,1,2,1,65,75,70,95
24,M,D,1,1,6,0,0,1,5,U,5,4,0,1,0,1,2,1,85,76,70,94
25,F,D,0,1,6,0,0,1,5,U,5,4,0,1,0,0,2,1,54,94,70,96
25,M,H,1,1,6,0,0,1,5,U,5,4,1,1,0,0,5,2,99,82,70,91
25,F,H,0,1,6,0,0,5,5,U,5,4,1,1,4,0,5,2,88,81,84,82
21,M,H,1,1,8,0,0,5,5,R,5,4,1,1,0,0,5,2,85,83,89,83
20,M,H,1,0,8,0,0,5,5,R,5,4,1,1,2,0,5,2,85,85,98,80
20,M,H,0,0,8,0,0,5,5,R,5,4,1,0,4,0,5,2,87,86,95,86
18,F,H,0,0,8,0,1,4,5,R,5,4,0,0,0,1,4,2,84,76,94,84
18,M,D,1,0,1,0,0,5,5,R,5,4,1,0,3,1,4,3,84,79,96,85
17,F,D,0,0,1,0,0,5,4,R,5,4,1,0,0,0,4,3,86,75,92,81
20,M,H,1,0,1,0,0,5,4,R,5,5,1,0,4,1,4,3,89,74,91,72
22,M,D,0,0,1,0,0,4,4,R,5,5,1,0,0,1,4,3,56,71,90,62
23,M,H,1,0,2,0,0,4,4,R,5,5,1,0,2,0,4,3,82,72,60,62
23,M,D,0,0,2,0,0,4,4,R,2,5,1,0,1,0,4,5,82,69,54,64
23,F,H,1,0,2,0,0,4,4,U,2,5,1,0,1,1,4,5,76,68,84,65
23,F,D,1,1,2,0,0,4,4,U,2,5,1,0,4,1,4,5,76,67,54,91
24,F,H,1,1,2,0,0,3,4,U,2,5,1,1,4,0,4,5,79,63,74,85
25,F,D,1,1,3,0,0,3,4,U,3,5,1,0,4,0,4,5,78,64,84,76
20,F,H,1,1,3,0,0,3,4,U,3,5,1,0,4,0,6,5,75,64,95,72
21,M,H,1,1,4,0,1,2,4,R,3,5,1,0,4,0,6,5,74,64,84,71
20,M,D,1,0,4,0,1,2,4,U,3,5,1,1,4,0,6,5,71,65,65,71
19,M,H,0,0,6,0,1,5,4,U,4,5,1,0,4,1,6,5,71,85,72,76
18,F,D,0,0,6,0,1,5,4,U,4,5,1,0,4,1,6,5,75,84,83,85
20,M,H,1,1,5,0,1,5,4,U,4,5,1,0,4,0,6,5,74,84,83,94
23,F,D,0,1,5,1,1,2,4,U,4,3,1,0,4,1,2,5,76,90,83,85
22,M,H,1,1,5,0,1,3,4,U,1,3,1,0,4,0,2,5,76,84,81,82
21,F,D,1,1,7,0,1,2,4,U,1,3,1,0,4,1,2,5,79,50,89,42
23,M,H,0,1,7,0,1,2,4,U,1,4,1,0,4,0,2,5,78,60,87,62
20,F,D,0,1,8,0,1,2,4,R,1,4,1,0,3,1,3,5,73,60,94,75
18,M,H,1,1,9,0,1,2,4,U,1,4,1,0,3,0,4,2,71,51,96,95
19,F,D,1,1,9,0,0,2,3,U,1,4,1,0,3,1,1,2,71,71,92,84
24,M,H,1,1,9,0,0,3,3,U,1,4,1,0,0,0,3,2,71,71,50,65
20,M,H,1,1,9,0,0,5,3,U,1,4,1,0,0,1,3,2,70,72,78,65
